Account number,Account name,Symbol,Description,Quantity,Last price,Last price change,Current value,Today's gain/loss dollar,Today's gain/loss percent,Total gain/loss dollar,Total gain/loss percent,Percent of account,Cost basis total,Average cost basis,Type
000000000,Demo Rollover IRA,CASH,FDIC-INSURED DEPOSIT SWEEP,,,,$20642.71,,,,,8.38%,,,Cash
000000000,Demo Rollover IRA,-NEM280121C80,NEM JAN 21 2028 $80 CALL,6,$59.14,+$4.39,$35484.00,+$2634.00,+8.01%,+$24847.96,+233.62%,14.41%,$10636.04,$17.73,Cash
000000000,Demo Rollover IRA,-MU280616C400,MU JUN 16 2028 $400 CALL,1,$646.00,$0.00,$64600.00,$0.00,0.00%,+$38141.33,+144.15%,26.24%,$26458.67,$264.59,Cash
000000000,Demo Rollover IRA,-QCOM280121C125,QCOM JAN 21 2028 $125 CALL,2,$54.00,$0.00,$10800.00,$0.00,0.00%,+$5078.66,+88.76%,4.39%,$5721.34,$28.61,Cash
000000000,Demo Rollover IRA,-PFE280121C22,PFE JAN 21 2028 $22 CALL,20,$6.85,+$0.30,$13700.00,+$600.00,+4.58%,+$2186.63,+18.99%,5.56%,$11513.37,$5.76,Cash
000000000,Demo Rollover IRA,-NVDA281215C180,NVDA DEC 15 2028 $180 CALL,2,$77.46,-$2.04,$15492.00,-$408.00,-2.57%,+$1343.65,+9.49%,6.29%,$14148.35,$70.74,Cash
000000000,Demo Rollover IRA,-FSLR280616C200,FSLR JUN 16 2028 $200 CALL,1,$78.00,$0.00,$7800.00,$0.00,0.00%,+$501.33,+6.86%,3.17%,$7298.67,$72.99,Cash
000000000,Demo Rollover IRA,-GOOG280121C350,GOOG JAN 21 2028 $350 CALL,2,$63.58,+$2.43,$12716.00,+$486.00,+3.97%,+$428.67,+3.48%,5.16%,$12287.33,$61.44,Cash
000000000,Demo Rollover IRA,-GOOG281215C250,GOOG DEC 15 2028 $250 CALL,1,$138.57,+$4.07,$13857.00,+$407.00,+3.02%,+$202.32,+1.48%,5.63%,$13654.68,$136.55,Cash
000000000,Demo Rollover IRA,IBM,INTERNATIONAL BUS MACH CORP COM USD0.20,30,$235.68,+$1.99,$7070.40,+$59.70,+0.85%,-$580.50,-7.59%,2.87%,$7650.90,$255.03,Cash
000000000,Demo Rollover IRA,MBGYY,MERCEDES-BENZ GROUP AG UNSP ADR EACH REP 0.25 ORD SHS,600,$13.16,$0.00,$7896.00,$0.00,0.00%,-$1864.08,-19.10%,3.21%,$9760.08,$16.27,Cash
000000000,Demo Rollover IRA,QBTS,D-WAVE QUANTUM INC COM,140,$20.39,+$1.59,$2854.60,+$222.60,+8.45%,-$866.59,-23.29%,1.16%,$3721.19,$26.58,Cash
000000000,Demo Rollover IRA,RGTI,RIGETTI COMPUTING INC COMMON STOCK,150,$17.91,+$1.845,$2686.50,+$276.75,+11.48%,-$933.00,-25.78%,1.09%,$3619.50,$24.13,Cash
000000000,Demo Rollover IRA,IONQ,IONQ INC COM,60,$44.86,+$3.33,$2691.60,+$199.80,+8.01%,-$1018.80,-27.46%,1.09%,$3710.40,$61.84,Cash
000000000,Demo Rollover IRA,-SIL280121C110,SIL JAN 21 2028 $110 CALL,5,$24.90,+$1.80,$12450.00,+$900.00,+7.79%,-$7833.37,-38.62%,5.06%,$20283.37,$40.57,Cash
000000000,Demo Rollover IRA,-SBUX280121P95,SBUX JAN 21 2028 $95 PUT,2,$8.45,$0.00,$1690.00,$0.00,0.00%,-$1333.35,-44.11%,0.69%,$3023.35,$15.12,Cash
000000000,Demo Rollover IRA,-PPLT280121C18,PPLT JAN 21 2028 $18 CALL,20,$2.90,+$0.15,$5800.00,+$300.00,+5.45%,-$4579.35,-44.12%,2.36%,$10379.35,$5.19,Cash
000000000,Demo Rollover IRA,-NVO280121C50,NVO JAN 21 2028 $50 CALL,10,$8.00,+$0.45,$8000.00,+$450.00,+5.96%,-$9196.69,-53.48%,3.25%,$17196.69,$17.20,Cash
